from_meter,to_meter,coefficient,derived_from
B611.EL_BUILDING,B611.T4-A3,1.0,building_virtual_B611
B611.EL_BUILDING,B611.T4-C1,1.0,building_virtual_B611
B611.EL_BUILDING,B611.T4-C4,1.0,building_virtual_B611
B611.EL_BUILDING,B622.T2-3-1-B1,1.0,building_virtual_B611
B611.T1,B611.EL_BUILDING,1.0,building_virtual_B611
B611.T2,B611.EL_BUILDING,1.0,building_virtual_B611
B611.T2,B622.T2-3-1-B1,,el_naming_hierarchy
B611.T3,B611.EL_BUILDING,1.0,building_virtual_B611
B611.T4,B611.EL_BUILDING,1.0,building_virtual_B611
B611.T4,B611.T4-A3,,el_naming_hierarchy
B611.T4,B611.T4-C1,,el_naming_hierarchy
B611.T4,B611.T4-C4,,el_naming_hierarchy
B611.T4-A3,B631.EL_BUILDING,1.0,building_virtual_B631
B611.T4-C1,B613.EL_BUILDING,1.0,building_virtual_B613
B611.T4-C4,B631.EL_BUILDING,1.0,building_virtual_B631
B611.T41,B611.EL_BUILDING,1.0,building_virtual_B611
B612.EL_BUILDING,B612.T8-B5,1.0,building_virtual_B612
B612.EL_BUILDING,B612.T8-B6,1.0,building_virtual_B612
B612.EL_BUILDING,B615.T7-A2-257,1.0,building_virtual_B612
B612.EL_BUILDING,B641.T8-A3,1.0,building_virtual_B612
B612.EL_BUILDING,B652.T8-A3-A14-112,1.0,building_virtual_B612
B612.T48,B612.EL_BUILDING,1.0,building_virtual_B612
B612.T7,B612.EL_BUILDING,1.0,building_virtual_B612
B612.T7,B615.T7-A2-257,,el_naming_hierarchy
B612.T8,B612.EL_BUILDING,1.0,building_virtual_B612
B612.T8,B612.T8-B5,,el_naming_hierarchy
B612.T8,B612.T8-B6,,el_naming_hierarchy
B612.T8,B641.T8-A3,,el_naming_hierarchy
B612.T8-B5,B637.EL_BUILDING,1.0,building_virtual_B637
B612.T8-B6,B638.EL_BUILDING,1.0,building_virtual_B638
B612.T9,B612.EL_BUILDING,1.0,building_virtual_B612
B614.T18,B614.EL_BUILDING,1.0,building_virtual_B614
B614.T19,B614.EL_BUILDING,1.0,building_virtual_B614
B614.T20,B614.EL_BUILDING,1.0,building_virtual_B614
B615.T7-A2-257,B615.EL_BUILDING,1.0,building_virtual_B615
B616.EL_BUILDING,B616.T33-6-1,1.0,building_virtual_B616
B616.EL_BUILDING,B616.T33-6-2,1.0,building_virtual_B616
B616.T31,B616.EL_BUILDING,1.0,building_virtual_B616
B616.T31,B616.T31-6-2,,el_naming_hierarchy
B616.T31-6-2,B616.EL_BUILDING,1.0,building_virtual_B616
B616.T32,B616.EL_BUILDING,1.0,building_virtual_B616
B616.T33,B616.EL_BUILDING,1.0,building_virtual_B616
B616.T33,B616.T33-6-1,,el_naming_hierarchy
B616.T33,B616.T33-6-2,,el_naming_hierarchy
B616.T33-6-1,B835.EL_BUILDING,1.0,building_virtual_B835
B616.T33-6-2,B835.EL_BUILDING,1.0,building_virtual_B835
B621.EL_BUILDING,B621.T5-2-5,1.0,building_virtual_B621
B621.EL_BUILDING,B621.T6-2-5,1.0,building_virtual_B621
B621.EL_BUILDING,B621.T6-3-1,1.0,building_virtual_B621
B621.T29,B621.EL_BUILDING,1.0,building_virtual_B621
B621.T30,B621.EL_BUILDING,1.0,building_virtual_B621
B621.T5,B621.EL_BUILDING,1.0,building_virtual_B621
B621.T5,B621.T5-2-5,,el_naming_hierarchy
B621.T5-2-5,B651.EL_BUILDING,1.0,building_virtual_B651
B621.T6,B621.EL_BUILDING,1.0,building_virtual_B621
B621.T6,B621.T6-2-5,,el_naming_hierarchy
B621.T6,B621.T6-3-1,,el_naming_hierarchy
B621.T6-2-5,B658.EL_BUILDING,1.0,building_virtual_B658
B621.T6-3-1,B655.EL_BUILDING,1.0,building_virtual_B655
B622.T2-3-1-B1,B622.EL_BUILDING,1.0,building_virtual_B622
B625.T16,B625.EL_BUILDING,1.0,building_virtual_B625
B625.T50,B625.EL_BUILDING,1.0,building_virtual_B625
B634.T51,B634.EL_BUILDING,1.0,building_virtual_B634
B634.T52,B634.EL_BUILDING,1.0,building_virtual_B634
B641.EL_BUILDING,B652.T8-A3-A14-112,1.0,building_virtual_B641
B641.T8-A3,B641.EL_BUILDING,1.0,building_virtual_B641
B641.T8-A3,B652.T8-A3-A14-112,,el_naming_hierarchy
B643.EL_BUILDING,B643.T37-2-1,1.0,building_virtual_B643
B643.T37,B643.EL_BUILDING,1.0,building_virtual_B643
B643.T37,B643.T37-2-1,,el_naming_hierarchy
B643.T37-2-1,B642.EL_BUILDING,1.0,building_virtual_B642
B643.T40,B643.EL_BUILDING,1.0,building_virtual_B643
B650.EL_BUILDING,B650.T23-D5,1.0,building_virtual_B650
B650.T23,B650.EL_BUILDING,1.0,building_virtual_B650
B650.T23,B650.T23-D5,,el_naming_hierarchy
B650.T23-D5,B649.EL_BUILDING,1.0,building_virtual_B649
B650.T24,B650.EL_BUILDING,1.0,building_virtual_B650
B652.EL_BUILDING,B652.T14-B3-J,1.0,building_virtual_B652
B652.T14-B3-J,B602.EL_BUILDING,1.0,building_virtual_B602
B652.T8-A3-A14-112,B652.EL_BUILDING,1.0,building_virtual_B652
B653.EL_BUILDING,B653.T17-A7,1.0,building_virtual_B653
B653.T17,B653.EL_BUILDING,1.0,building_virtual_B653
B653.T17,B653.T17-A7,,el_naming_hierarchy
B653.T17-A7,BPARKING.EL_BUILDING,1.0,building_virtual_BPARKING
B653.T54,B653.EL_BUILDING,1.0,building_virtual_B653
B653.T55,B653.EL_BUILDING,1.0,building_virtual_B653
B654.T25,B654.EL_BUILDING,1.0,building_virtual_B654
B654.T26,B654.EL_BUILDING,1.0,building_virtual_B654
B654.T27,B654.EL_BUILDING,1.0,building_virtual_B654
B654.T53,B654.EL_BUILDING,1.0,building_virtual_B654
B659.EL_BUILDING,B659.T28-3-5,1.0,building_virtual_B659
B659.T15,B659.EL_BUILDING,1.0,building_virtual_B659
B659.T28,B659.EL_BUILDING,1.0,building_virtual_B659
B659.T28,B659.T28-3-5,,el_naming_hierarchy
B660.H23-1,B660.EL_BUILDING,1.0,building_virtual_B660
B660.H3-1,B660.EL_BUILDING,1.0,building_virtual_B660
B661.T34,B661.EL_BUILDING,1.0,building_virtual_B661
B661.T35,B661.EL_BUILDING,1.0,building_virtual_B661
B661.T36,B661.EL_BUILDING,1.0,building_virtual_B661
B661.T47,B661.EL_BUILDING,1.0,building_virtual_B661
B665.EL_BUILDING,B665.T42-2-1,1.0,building_virtual_B665
B665.T42,B665.EL_BUILDING,1.0,building_virtual_B665
B665.T42,B665.T42-2-1,,el_naming_hierarchy
B665.T42-2-1,B664.EL_BUILDING,1.0,building_virtual_B664
B674.T46,B674.EL_BUILDING,1.0,building_virtual_B674
B821.EL_BUILDING,B821.T39-5-1,1.0,building_virtual_B821
B821.EL_BUILDING,B821.T39-5-2,1.0,building_virtual_B821
B821.EL_BUILDING,B821.T39-5-3,1.0,building_virtual_B821
B821.EL_BUILDING,B821.T39-6-2,1.0,building_virtual_B821
B821.T39-1,B821.EL_BUILDING,1.0,building_virtual_B821
B821.T39-1,B821.T39-5-1,,excel_formula_B821
B821.T39-1,B821.T39-5-2,,excel_formula_B821
B821.T39-1,B821.T39-5-3,,excel_formula_B821
B821.T39-1,B821.T39-6-2,,excel_formula_B821
B821.T39-5-1,B869.EL_BUILDING,1.0,building_virtual_B869
B821.T39-5-2,B869.EL_BUILDING,1.0,building_virtual_B869
B821.T39-5-3,B869.EL_BUILDING,1.0,building_virtual_B869
B821.T39-6-2,B869.EL_BUILDING,1.0,building_virtual_B869
B833.EL_BUILDING,B833.T44-6-1,1.0,building_virtual_B833
B833.T43,B833.EL_BUILDING,1.0,building_virtual_B833
B833.T44,B833.EL_BUILDING,1.0,building_virtual_B833
B833.T44,B833.T44-6-1,,el_naming_hierarchy
B833.T44-6-1,B834.EL_BUILDING,1.0,building_virtual_B834
B841.T38,B841.EL_BUILDING,1.0,building_virtual_B841
B951.H3-B,B921.EL_BUILDING,1.0,building_virtual_B921
B951.H4-A,B921.EL_BUILDING,1.0,building_virtual_B921
