building,row,formula_column,sign,role,excel_meter_id,facit_meter_id,n_terms
611,11,S,+,add,B611.VP1_VMM61_E,B611.VP1_VMM61,7
611,11,T,+,add,B611.VÅ9_VMM41_E,B611.VÅ9_VMM41,7
611,11,U,+,add,B611.VP2_VMM61_E,B611.VP2_VMM61,7
611,11,V,−,sub,B613.VP1_VMM61,B613.VP1_VMM61,7
611,11,W,−,sub,B631.VP1_VMM62,B631.VP1_VMM62,7
611,11,X,−,sub,B631.VP1_VMM63,B631.VP1_VMM63,7
611,11,Y,−,sub,B622.VP2_VMM61,B622.VP2_VMM61,7
612,12,S,+,add,B612.VP2_VMM62_E,B612.VP2_VMM62,8
612,12,T,+,add,B612.VP2_VMM63_E,B612.VP2_VMM63,8
612,12,U,+,add,B612.VP2_VMM64_E,B612.VP2_VMM64,8
612,12,V,+,add,B612.VP2_VMM65,B612.VP2_VMM65,8
612,12,W,−,sub,B641.VP2_VMM61_E,B641.VP2_VMM61,8
612,12,X,−,sub,B637.VP2_VMM61_E,B637.VP2_VMM61,8
612,12,Y,−,sub,B613.VP2_VMM61,B613.VP2_VMM61,8
612,12,Z,−,sub,B654.VP2_VMM61_E,B654.VP2_VMM61,8
613,13,S,+,add,B613.VP1_VMM61,B613.VP1_VMM61,5
613,13,T,+,add,B613.VP2_VMM61,B613.VP2_VMM61,5
614,14,S,+,add,B614.VS1_VMM61_E,B614.VS1_VMM61,5
614,14,T,+,add,B614.VÅ9_VMM41_E,B614.VÅ9_VMM41,5
614,14,U,−,sub,B642.VS1_VMM61_E,B642.VS1_VMM61,5
614,14,V,−,sub,B615.VS1_VMM61,B615.VS1_VMM61,5
615,15,S,+,add,B615.VS1_VMM61,B615.VS1_VMM61,5
616,16,S,+,add,B616.VÅ9_VMM41_E,B616.VÅ9_VMM41,5
616,16,T,+,add,B616.VS2_VMM61_E,B616.VS2_VMM61,5
616,16,U,+,add,B616.VP1_VMM62_E,B616.VP1_VMM62,5
616,16,V,+,add,B616.VP1_VMM61_E,B616.VP1_VMM61,5
616,16,W,−,sub,B661.VP1_VMM61_E,B661.VP1_VMM61,5
621 (T),18,S,+,add,B621.VP1_VMM61_E,B621.VP1_VMM61,4
621 (T),18,T,−,sub,B658.VP1_VMM61_E,B658.VP1_VMM61,4
621 (T),18,U,−,sub,B622.VP1_VMM61,B622.VP1_VMM61,4
621 (T),18,V,−,sub,B623.VP1_VMM61,B623.VP1_VMM61,4
622,20,S,+,add,B622.VP1_VMM61,B622.VP1_VMM61,5
622,20,T,+,add,B622.VP2_VMM61,B622.VP2_VMM61,5
623,21,S,+,add,B623.VP1_VMM61,B623.VP1_VMM61,5
625,22,S,+,add,B625.VÅ9_VMM41_E,B625.VÅ9_VMM41,5
625,22,T,+,add,B625.VS1_VMM61_E,B625.VS1_VMM61,5
631,23,S,+,add,B631.VP1_VMM62,B631.VP1_VMM62,5
631,23,T,+,add,B631.VP1_VMM63,B631.VP1_VMM63,5
634,24,S,+,add,B634.VP1_VMM61_E,B634.VP1_VMM61,5
637,25,S,+,add,B637.VP2_VMM61_E,B637.VP2_VMM61,5
637,25,T,−,sub,B638.VP2_VMM61_E,B638.VP2_VMM61,5
638,26,S,+,add,B638.VP2_VMM61_E,B638.VP2_VMM61,5
641,27,S,+,add,B641.VP2_VMM61_E,B641.VP2_VMM61,5
642,28,S,+,add,B642.VS1_VMM61_E,B642.VS1_VMM61,5
643,29,S,+,add,B643.VP1_VMM61_E,B643.VP1_VMM61,5
643,29,T,+,add,B643.VP2_VMM61_E,B643.VP2_VMM61,5
650,31,S,+,add,B650.VP1_VMM61_E,B650.VP1_VMM61,5
650,31,T,+,add,B650.VP3_VMM61_E,B650.VP3_VMM61,5
650,31,U,−,sub,B655.VP1_VMM61_E,B655.VP1_VMM61,5
652,33,S,+,add,B652.VS1_VMM61,B652.VS1_VMM61,5
654,35,S,+,add,B654.VP2_VMM61_E,B654.VP2_VMM61,5
655,36,S,+,add,B655.VP1_VMM61_E,B655.VP1_VMM61,5
658,38,S,+,add,B658.VP1_VMM61_E,B658.VP1_VMM61,5
661,41,S,+,add,B661.VP1_VMM61_E,B661.VP1_VMM61,5
674,46,S,+,add,B674.VP1_VMM61_E,B674.VP1_VMM61,5
674,46,T,+,add,B674.VP2_VMM61_E,B674.VP2_VMM61,5
821,48,S,+,add,B821.VP1_VMM61_E,B821.VP1_VMM61,5
833,49,S,+,add,B833.VP1_VMM61_E,B833.VP1_VMM61,5
833,49,T,+,add,B833.VP1_VMM62_E,B833.VP1_VMM62,5
833,49,U,−,sub,B834.VP1_VMM61_E,B834.VP1_VMM61,5
834,50,S,+,add,B834.VP1_VMM61_E,B834.VP1_VMM61,5
841,51,S,+,add,B841.VP1_VMM61_E,B841.VP1_VMM61,5
921,55,S,+,add,B921.VP1_VMM61,B921.VP1_VMM61,5
